f64_no_exceptions,f64_one_exception_per_vector,f64_all_nan,f64_nan_inf_negzero,f64_constant,f64_different_ef_per_vector,f64_with_nulls,f32_no_exceptions,f32_one_exception_per_vector,f32_all_nan,f32_nan_inf_negzero,f32_constant,f32_different_ef_per_vector,f32_with_nulls
2.53,2.53,NaN,5.3,42.0,0.53,0.53,2.53,2.53,NaN,5.3,42.0,0.53,0.53
2.54,2.54,NaN,5.4,42.0,0.54,0.54,2.54,2.54,NaN,5.4,42.0,0.54,0.54
2.55,2.55,NaN,5.5,42.0,0.55,,2.55,2.55,NaN,5.5,42.0,0.55,
2.56,2.56,NaN,5.6,42.0,0.56,0.56,2.56,2.56,NaN,5.6,42.0,0.56,0.56
2.57,2.57,NaN,5.7,42.0,0.57,0.57,2.57,2.57,NaN,5.7,42.0,0.57,0.57
2.58,2.58,NaN,5.8,42.0,0.58,,2.58,2.58,NaN,5.8,42.0,0.58,
2.59,2.59,NaN,5.9,42.0,0.59,0.59,2.59,2.59,NaN,5.9,42.0,0.59,0.59
2.6,2.6,NaN,6.0,42.0,0.6,0.6,2.6,2.6,NaN,6.0,42.0,0.6,0.6
2.61,2.61,NaN,6.1,42.0,0.61,,2.61,2.61,NaN,6.1,42.0,0.61,
2.62,2.62,NaN,6.2,42.0,0.62,0.62,2.62,2.62,NaN,6.2,42.0,0.62,0.62
2.63,2.63,NaN,6.3,42.0,0.63,0.63,2.63,2.63,NaN,6.3,42.0,0.63,0.63
2.64,2.64,NaN,6.4,42.0,0.64,,2.64,2.64,NaN,6.4,42.0,0.64,
2.65,2.65,NaN,6.5,42.0,0.65,0.65,2.65,2.65,NaN,6.5,42.0,0.65,0.65
2.66,2.66,NaN,6.6,42.0,0.66,0.66,2.66,2.66,NaN,6.6,42.0,0.66,0.66
2.67,2.67,NaN,6.7,42.0,0.67,,2.67,2.67,NaN,6.7,42.0,0.67,
2.68,2.68,NaN,6.8,42.0,0.68,0.68,2.68,2.68,NaN,6.8,42.0,0.68,0.68
2.69,2.69,NaN,6.9,42.0,0.69,0.69,2.69,2.69,NaN,6.9,42.0,0.69,0.69
2.7,2.7,NaN,7.0,42.0,0.7,,2.7,2.7,NaN,7.0,42.0,0.7,
2.71,2.71,NaN,7.1,42.0,0.71,0.71,2.71,2.71,NaN,7.1,42.0,0.71,0.71
2.72,2.72,NaN,7.2,42.0,0.72,0.72,2.72,2.72,NaN,7.2,42.0,0.72,0.72
2.73,2.73,NaN,7.3,42.0,0.73,,2.73,2.73,NaN,7.3,42.0,0.73,
2.74,2.74,NaN,7.4,42.0,0.74,0.74,2.74,2.74,NaN,7.4,42.0,0.74,0.74
2.75,2.75,NaN,7.5,42.0,0.75,0.75,2.75,2.75,NaN,7.5,42.0,0.75,0.75
2.76,2.76,NaN,7.6,42.0,0.76,,2.76,2.76,NaN,7.6,42.0,0.76,
2.77,2.77,NaN,7.7,42.0,0.77,0.77,2.77,2.77,NaN,7.7,42.0,0.77,0.77
2.78,2.78,NaN,7.8,42.0,0.78,0.78,2.78,2.78,NaN,7.8,42.0,0.78,0.78
2.79,2.79,NaN,7.9,42.0,0.79,,2.79,2.79,NaN,7.9,42.0,0.79,
2.8,2.8,NaN,8.0,42.0,0.8,0.8,2.8,2.8,NaN,8.0,42.0,0.8,0.8
2.81,2.81,NaN,8.1,42.0,0.81,0.81,2.81,2.81,NaN,8.1,42.0,0.81,0.81
2.82,2.82,NaN,8.2,42.0,0.82,,2.82,2.82,NaN,8.2,42.0,0.82,
2.83,2.83,NaN,8.3,42.0,0.83,0.83,2.83,2.83,NaN,8.3,42.0,0.83,0.83
2.84,2.84,NaN,8.4,42.0,0.84,0.84,2.84,2.84,NaN,8.4,42.0,0.84,0.84
2.85,2.85,NaN,8.5,42.0,0.85,,2.85,2.85,NaN,8.5,42.0,0.85,
2.86,2.86,NaN,8.6,42.0,0.86,0.86,2.86,2.86,NaN,8.6,42.0,0.86,0.86
2.87,2.87,NaN,8.7,42.0,0.87,0.87,2.87,2.87,NaN,8.7,42.0,0.87,0.87
2.88,2.88,NaN,8.8,42.0,0.88,,2.88,2.88,NaN,8.8,42.0,0.88,
2.89,2.89,NaN,8.9,42.0,0.89,0.89,2.89,2.89,NaN,8.9,42.0,0.89,0.89
2.9,2.9,NaN,9.0,42.0,0.9,0.9,2.9,2.9,NaN,9.0,42.0,0.9,0.9
2.91,2.91,NaN,9.1,42.0,0.91,,2.91,2.91,NaN,9.1,42.0,0.91,
2.92,2.92,NaN,9.2,42.0,0.92,0.92,2.92,2.92,NaN,9.2,42.0,0.92,0.92
2.93,2.93,NaN,9.3,42.0,0.93,0.93,2.93,2.93,NaN,9.3,42.0,0.93,0.93
2.94,2.94,NaN,9.4,42.0,0.94,,2.94,2.94,NaN,9.4,42.0,0.94,
2.95,2.95,NaN,9.5,42.0,0.95,0.95,2.95,2.95,NaN,9.5,42.0,0.95,0.95
2.96,2.96,NaN,9.6,42.0,0.96,0.96,2.96,2.96,NaN,9.6,42.0,0.96,0.96
2.97,2.97,NaN,9.7,42.0,0.97,,2.97,2.97,NaN,9.7,42.0,0.97,
2.98,2.98,NaN,9.8,42.0,0.98,0.98,2.98,2.98,NaN,9.8,42.0,0.98,0.98
2.99,2.99,NaN,9.9,42.0,0.99,0.99,2.99,2.99,NaN,9.9,42.0,0.99,0.99
3.0,3.0,NaN,0.0,42.0,0.0,,3.0,3.0,NaN,0.0,42.0,0.0,
3.01,3.01,NaN,0.1,42.0,0.01,0.01,3.01,3.01,NaN,0.1,42.0,0.01,0.01
3.02,3.02,NaN,0.2,42.0,0.02,0.02,3.02,3.02,NaN,0.2,42.0,0.02,0.02
3.03,3.03,NaN,0.3,42.0,0.03,,3.03,3.03,NaN,0.3,42.0,0.03,
3.04,3.04,NaN,0.4,42.0,0.04,0.04,3.04,3.04,NaN,0.4,42.0,0.04,0.04
3.05,3.05,NaN,0.5,42.0,0.05,0.05,3.05,3.05,NaN,0.5,42.0,0.05,0.05
3.06,3.06,NaN,0.6,42.0,0.06,,3.06,3.06,NaN,0.6,42.0,0.06,
3.07,3.07,NaN,0.7,42.0,0.07,0.07,3.07,3.07,NaN,0.7,42.0,0.07,0.07
3.08,3.08,NaN,0.8,42.0,0.08,0.08,3.08,3.08,NaN,0.8,42.0,0.08,0.08
3.09,3.09,NaN,0.9,42.0,0.09,,3.09,3.09,NaN,0.9,42.0,0.09,
3.1,3.1,NaN,1.0,42.0,0.1,0.1,3.1,3.1,NaN,1.0,42.0,0.1,0.1
3.11,3.11,NaN,1.1,42.0,0.11,0.11,3.11,3.11,NaN,1.1,42.0,0.11,0.11
3.12,3.12,NaN,1.2,42.0,0.12,,3.12,3.12,NaN,1.2,42.0,0.12,
3.13,3.13,NaN,1.3,42.0,0.13,0.13,3.13,3.13,NaN,1.3,42.0,0.13,0.13
3.14,3.14,NaN,1.4,42.0,0.14,0.14,3.14,3.14,NaN,1.4,42.0,0.14,0.14
3.15,3.15,NaN,1.5,42.0,0.15,,3.15,3.15,NaN,1.5,42.0,0.15,
3.16,3.16,NaN,1.6,42.0,0.16,0.16,3.16,3.16,NaN,1.6,42.0,0.16,0.16
3.17,3.17,NaN,1.7,42.0,0.17,0.17,3.17,3.17,NaN,1.7,42.0,0.17,0.17
3.18,3.18,NaN,1.8,42.0,0.18,,3.18,3.18,NaN,1.8,42.0,0.18,
3.19,3.19,NaN,1.9,42.0,0.19,0.19,3.19,3.19,NaN,1.9,42.0,0.19,0.19
3.2,3.2,NaN,2.0,42.0,0.2,0.2,3.2,3.2,NaN,2.0,42.0,0.2,0.2
3.21,3.21,NaN,2.1,42.0,0.21,,3.21,3.21,NaN,2.1,42.0,0.21,
3.22,3.22,NaN,2.2,42.0,0.22,0.22,3.22,3.22,NaN,2.2,42.0,0.22,0.22
3.23,3.23,NaN,2.3,42.0,0.23,0.23,3.23,3.23,NaN,2.3,42.0,0.23,0.23
3.24,3.24,NaN,2.4,42.0,0.24,,3.24,3.24,NaN,2.4,42.0,0.24,
3.25,3.25,NaN,2.5,42.0,0.25,0.25,3.25,3.25,NaN,2.5,42.0,0.25,0.25
3.26,3.26,NaN,2.6,42.0,0.26,0.26,3.26,3.26,NaN,2.6,42.0,0.26,0.26
3.27,3.27,NaN,2.7,42.0,0.27,,3.27,3.27,NaN,2.7,42.0,0.27,
3.28,3.28,NaN,2.8,42.0,0.28,0.28,3.28,3.28,NaN,2.8,42.0,0.28,0.28
3.29,3.29,NaN,2.9,42.0,0.29,0.29,3.29,3.29,NaN,2.9,42.0,0.29,0.29
3.3,3.3,NaN,3.0,42.0,0.3,,3.3,3.3,NaN,3.0,42.0,0.3,
3.31,3.31,NaN,3.1,42.0,0.31,0.31,3.31,3.31,NaN,3.1,42.0,0.31,0.31
3.32,3.32,NaN,3.2,42.0,0.32,0.32,3.32,3.32,NaN,3.2,42.0,0.32,0.32
3.33,3.33,NaN,3.3,42.0,0.33,,3.33,3.33,NaN,3.3,42.0,0.33,
3.34,3.34,NaN,3.4,42.0,0.34,0.34,3.34,3.34,NaN,3.4,42.0,0.34,0.34
3.35,3.35,NaN,3.5,42.0,0.35,0.35,3.35,3.35,NaN,3.5,42.0,0.35,0.35
3.36,3.36,NaN,3.6,42.0,0.36,,3.36,3.36,NaN,3.6,42.0,0.36,
3.37,3.37,NaN,3.7,42.0,0.37,0.37,3.37,3.37,NaN,3.7,42.0,0.37,0.37
3.38,3.38,NaN,3.8,42.0,0.38,0.38,3.38,3.38,NaN,3.8,42.0,0.38,0.38
3.39,3.39,NaN,3.9,42.0,0.39,,3.39,3.39,NaN,3.9,42.0,0.39,
3.4,3.4,NaN,4.0,42.0,0.4,0.4,3.4,3.4,NaN,4.0,42.0,0.4,0.4
3.41,3.41,NaN,4.1,42.0,0.41,0.41,3.41,3.41,NaN,4.1,42.0,0.41,0.41
3.42,3.42,NaN,4.2,42.0,0.42,,3.42,3.42,NaN,4.2,42.0,0.42,
3.43,3.43,NaN,4.3,42.0,0.43,0.43,3.43,3.43,NaN,4.3,42.0,0.43,0.43
3.44,3.44,NaN,4.4,42.0,0.44,0.44,3.44,3.44,NaN,4.4,42.0,0.44,0.44
3.45,3.45,NaN,4.5,42.0,0.45,,3.45,3.45,NaN,4.5,42.0,0.45,
3.46,3.46,NaN,4.6,42.0,0.46,0.46,3.46,3.46,NaN,4.6,42.0,0.46,0.46
3.47,3.47,NaN,4.7,42.0,0.47,0.47,3.47,3.47,NaN,4.7,42.0,0.47,0.47
3.48,3.48,NaN,4.8,42.0,0.48,,3.48,3.48,NaN,4.8,42.0,0.48,
3.49,3.49,NaN,4.9,42.0,0.49,0.49,3.49,3.49,NaN,4.9,42.0,0.49,0.49
3.5,3.5,NaN,5.0,42.0,0.5,0.5,3.5,3.5,NaN,5.0,42.0,0.5,0.5
3.51,3.51,NaN,5.1,42.0,0.51,,3.51,3.51,NaN,5.1,42.0,0.51,
3.52,3.52,NaN,5.2,42.0,0.52,0.52,3.52,3.52,NaN,5.2,42.0,0.52,0.52
3.53,3.53,NaN,5.3,42.0,0.53,0.53,3.53,3.53,NaN,5.3,42.0,0.53,0.53
3.54,3.54,NaN,5.4,42.0,0.54,,3.54,3.54,NaN,5.4,42.0,0.54,
3.55,3.55,NaN,5.5,42.0,0.55,0.55,3.55,3.55,NaN,5.5,42.0,0.55,0.55
3.56,3.56,NaN,5.6,42.0,0.56,0.56,3.56,3.56,NaN,5.6,42.0,0.56,0.56
3.57,3.57,NaN,5.7,42.0,0.57,,3.57,3.57,NaN,5.7,42.0,0.57,
3.58,3.58,NaN,5.8,42.0,0.58,0.58,3.58,3.58,NaN,5.8,42.0,0.58,0.58
3.59,3.59,NaN,5.9,42.0,0.59,0.59,3.59,3.59,NaN,5.9,42.0,0.59,0.59
3.6,3.6,NaN,6.0,42.0,0.6,,3.6,3.6,NaN,6.0,42.0,0.6,
3.61,3.61,NaN,6.1,42.0,0.61,0.61,3.61,3.61,NaN,6.1,42.0,0.61,0.61
3.62,3.62,NaN,6.2,42.0,0.62,0.62,3.62,3.62,NaN,6.2,42.0,0.62,0.62
3.63,3.63,NaN,6.3,42.0,0.63,,3.63,3.63,NaN,6.3,42.0,0.63,
3.64,3.64,NaN,6.4,42.0,0.64,0.64,3.64,3.64,NaN,6.4,42.0,0.64,0.64
3.65,3.65,NaN,6.5,42.0,0.65,0.65,3.65,3.65,NaN,6.5,42.0,0.65,0.65
3.66,3.66,NaN,6.6,42.0,0.66,,3.66,3.66,NaN,6.6,42.0,0.66,
3.67,3.67,NaN,6.7,42.0,0.67,0.67,3.67,3.67,NaN,6.7,42.0,0.67,0.67
3.68,3.68,NaN,6.8,42.0,0.68,0.68,3.68,3.68,NaN,6.8,42.0,0.68,0.68
3.69,3.69,NaN,6.9,42.0,0.69,,3.69,3.69,NaN,6.9,42.0,0.69,
3.7,3.7,NaN,7.0,42.0,0.7,0.7,3.7,3.7,NaN,7.0,42.0,0.7,0.7
3.71,3.71,NaN,7.1,42.0,0.71,0.71,3.71,3.71,NaN,7.1,42.0,0.71,0.71
3.72,3.72,NaN,7.2,42.0,0.72,,3.72,3.72,NaN,7.2,42.0,0.72,
3.73,3.73,NaN,7.3,42.0,0.73,0.73,3.73,3.73,NaN,7.3,42.0,0.73,0.73
3.74,3.74,NaN,7.4,42.0,0.74,0.74,3.74,3.74,NaN,7.4,42.0,0.74,0.74
3.75,3.75,NaN,7.5,42.0,0.75,,3.75,3.75,NaN,7.5,42.0,0.75,
3.76,3.76,NaN,7.6,42.0,0.76,0.76,3.76,3.76,NaN,7.6,42.0,0.76,0.76
3.77,3.77,NaN,7.7,42.0,0.77,0.77,3.77,3.77,NaN,7.7,42.0,0.77,0.77
3.78,3.78,NaN,7.8,42.0,0.78,,3.78,3.78,NaN,7.8,42.0,0.78,
3.79,3.79,NaN,7.9,42.0,0.79,0.79,3.79,3.79,NaN,7.9,42.0,0.79,0.79
3.8,3.8,NaN,8.0,42.0,0.8,0.8,3.8,3.8,NaN,8.0,42.0,0.8,0.8
3.81,3.81,NaN,8.1,42.0,0.81,,3.81,3.81,NaN,8.1,42.0,0.81,
3.82,3.82,NaN,8.2,42.0,0.82,0.82,3.82,3.82,NaN,8.2,42.0,0.82,0.82
3.83,3.83,NaN,8.3,42.0,0.83,0.83,3.83,3.83,NaN,8.3,42.0,0.83,0.83
3.84,3.84,NaN,8.4,42.0,0.84,,3.84,3.84,NaN,8.4,42.0,0.84,
3.85,3.85,NaN,8.5,42.0,0.85,0.85,3.85,3.85,NaN,8.5,42.0,0.85,0.85
3.86,3.86,NaN,8.6,42.0,0.86,0.86,3.86,3.86,NaN,8.6,42.0,0.86,0.86
3.87,3.87,NaN,8.7,42.0,0.87,,3.87,3.87,NaN,8.7,42.0,0.87,
3.88,3.88,NaN,8.8,42.0,0.88,0.88,3.88,3.88,NaN,8.8,42.0,0.88,0.88
3.89,3.89,NaN,8.9,42.0,0.89,0.89,3.89,3.89,NaN,8.9,42.0,0.89,0.89
3.9,3.9,NaN,9.0,42.0,0.9,,3.9,3.9,NaN,9.0,42.0,0.9,
3.91,3.91,NaN,9.1,42.0,0.91,0.91,3.91,3.91,NaN,9.1,42.0,0.91,0.91
3.92,3.92,NaN,9.2,42.0,0.92,0.92,3.92,3.92,NaN,9.2,42.0,0.92,0.92
3.93,3.93,NaN,9.3,42.0,0.93,,3.93,3.93,NaN,9.3,42.0,0.93,
3.94,3.94,NaN,9.4,42.0,0.94,0.94,3.94,3.94,NaN,9.4,42.0,0.94,0.94
3.95,3.95,NaN,9.5,42.0,0.95,0.95,3.95,3.95,NaN,9.5,42.0,0.95,0.95
3.96,3.96,NaN,9.6,42.0,0.96,,3.96,3.96,NaN,9.6,42.0,0.96,
3.97,3.97,NaN,9.7,42.0,0.97,0.97,3.97,3.97,NaN,9.7,42.0,0.97,0.97
3.98,3.98,NaN,9.8,42.0,0.98,0.98,3.98,3.98,NaN,9.8,42.0,0.98,0.98
3.99,3.99,NaN,9.9,42.0,0.99,,3.99,3.99,NaN,9.9,42.0,0.99,
4.0,4.0,NaN,0.0,42.0,0.0,0.0,4.0,4.0,NaN,0.0,42.0,0.0,0.0
4.01,4.01,NaN,0.1,42.0,0.01,0.01,4.01,4.01,NaN,0.1,42.0,0.01,0.01
4.02,4.02,NaN,0.2,42.0,0.02,,4.02,4.02,NaN,0.2,42.0,0.02,
4.03,4.03,NaN,0.3,42.0,0.03,0.03,4.03,4.03,NaN,0.3,42.0,0.03,0.03
4.04,4.04,NaN,0.4,42.0,0.04,0.04,4.04,4.04,NaN,0.4,42.0,0.04,0.04
4.05,4.05,NaN,0.5,42.0,0.05,,4.05,4.05,NaN,0.5,42.0,0.05,
4.06,4.06,NaN,0.6,42.0,0.06,0.06,4.06,4.06,NaN,0.6,42.0,0.06,0.06
4.07,4.07,NaN,0.7,42.0,0.07,0.07,4.07,4.07,NaN,0.7,42.0,0.07,0.07
4.08,4.08,NaN,0.8,42.0,0.08,,4.08,4.08,NaN,0.8,42.0,0.08,
4.09,4.09,NaN,0.9,42.0,0.09,0.09,4.09,4.09,NaN,0.9,42.0,0.09,0.09
4.1,4.1,NaN,1.0,42.0,0.1,0.1,4.1,4.1,NaN,1.0,42.0,0.1,0.1
4.11,4.11,NaN,1.1,42.0,0.11,,4.11,4.11,NaN,1.1,42.0,0.11,
4.12,4.12,NaN,1.2,42.0,0.12,0.12,4.12,4.12,NaN,1.2,42.0,0.12,0.12
4.13,4.13,NaN,1.3,42.0,0.13,0.13,4.13,4.13,NaN,1.3,42.0,0.13,0.13
4.14,4.14,NaN,1.4,42.0,0.14,,4.14,4.14,NaN,1.4,42.0,0.14,
4.15,4.15,NaN,1.5,42.0,0.15,0.15,4.15,4.15,NaN,1.5,42.0,0.15,0.15
4.16,4.16,NaN,1.6,42.0,0.16,0.16,4.16,4.16,NaN,1.6,42.0,0.16,0.16
4.17,4.17,NaN,1.7,42.0,0.17,,4.17,4.17,NaN,1.7,42.0,0.17,
4.18,4.18,NaN,1.8,42.0,0.18,0.18,4.18,4.18,NaN,1.8,42.0,0.18,0.18
4.19,4.19,NaN,1.9,42.0,0.19,0.19,4.19,4.19,NaN,1.9,42.0,0.19,0.19
4.2,4.2,NaN,2.0,42.0,0.2,,4.2,4.2,NaN,2.0,42.0,0.2,
4.21,4.21,NaN,2.1,42.0,0.21,0.21,4.21,4.21,NaN,2.1,42.0,0.21,0.21
4.22,4.22,NaN,2.2,42.0,0.22,0.22,4.22,4.22,NaN,2.2,42.0,0.22,0.22
4.23,4.23,NaN,2.3,42.0,0.23,,4.23,4.23,NaN,2.3,42.0,0.23,
4.24,4.24,NaN,2.4,42.0,0.24,0.24,4.24,4.24,NaN,2.4,42.0,0.24,0.24
4.25,4.25,NaN,2.5,42.0,0.25,0.25,4.25,4.25,NaN,2.5,42.0,0.25,0.25
4.26,4.26,NaN,2.6,42.0,0.26,,4.26,4.26,NaN,2.6,42.0,0.26,
4.27,4.27,NaN,2.7,42.0,0.27,0.27,4.27,4.27,NaN,2.7,42.0,0.27,0.27
4.28,4.28,NaN,2.8,42.0,0.28,0.28,4.28,4.28,NaN,2.8,42.0,0.28,0.28
4.29,4.29,NaN,2.9,42.0,0.29,,4.29,4.29,NaN,2.9,42.0,0.29,
4.3,4.3,NaN,3.0,42.0,0.3,0.3,4.3,4.3,NaN,3.0,42.0,0.3,0.3
4.31,4.31,NaN,3.1,42.0,0.31,0.31,4.31,4.31,NaN,3.1,42.0,0.31,0.31
4.32,4.32,NaN,3.2,42.0,0.32,,4.32,4.32,NaN,3.2,42.0,0.32,
4.33,4.33,NaN,3.3,42.0,0.33,0.33,4.33,4.33,NaN,3.3,42.0,0.33,0.33
4.34,4.34,NaN,3.4,42.0,0.34,0.34,4.34,4.34,NaN,3.4,42.0,0.34,0.34
4.35,4.35,NaN,3.5,42.0,0.35,,4.35,4.35,NaN,3.5,42.0,0.35,
4.36,4.36,NaN,3.6,42.0,0.36,0.36,4.36,4.36,NaN,3.6,42.0,0.36,0.36
4.37,4.37,NaN,3.7,42.0,0.37,0.37,4.37,4.37,NaN,3.7,42.0,0.37,0.37
4.38,4.38,NaN,3.8,42.0,0.38,,4.38,4.38,NaN,3.8,42.0,0.38,
4.39,4.39,NaN,3.9,42.0,0.39,0.39,4.39,4.39,NaN,3.9,42.0,0.39,0.39
4.4,4.4,NaN,4.0,42.0,0.4,0.4,4.4,4.4,NaN,4.0,42.0,0.4,0.4
4.41,4.41,NaN,4.1,42.0,0.41,,4.41,4.41,NaN,4.1,42.0,0.41,
4.42,4.42,NaN,4.2,42.0,0.42,0.42,4.42,4.42,NaN,4.2,42.0,0.42,0.42
4.43,4.43,NaN,4.3,42.0,0.43,0.43,4.43,4.43,NaN,4.3,42.0,0.43,0.43
4.44,4.44,NaN,4.4,42.0,0.44,,4.44,4.44,NaN,4.4,42.0,0.44,
4.45,4.45,NaN,4.5,42.0,0.45,0.45,4.45,4.45,NaN,4.5,42.0,0.45,0.45
4.46,4.46,NaN,4.6,42.0,0.46,0.46,4.46,4.46,NaN,4.6,42.0,0.46,0.46
4.47,4.47,NaN,4.7,42.0,0.47,,4.47,4.47,NaN,4.7,42.0,0.47,
4.48,4.48,NaN,4.8,42.0,0.48,0.48,4.48,4.48,NaN,4.8,42.0,0.48,0.48
4.49,4.49,NaN,4.9,42.0,0.49,0.49,4.49,4.49,NaN,4.9,42.0,0.49,0.49
4.5,4.5,NaN,5.0,42.0,0.5,,4.5,4.5,NaN,5.0,42.0,0.5,
4.51,4.51,NaN,5.1,42.0,0.51,0.51,4.51,4.51,NaN,5.1,42.0,0.51,0.51
4.52,4.52,NaN,5.2,42.0,0.52,0.52,4.52,4.52,NaN,5.2,42.0,0.52,0.52
4.53,4.53,NaN,5.3,42.0,0.53,,4.53,4.53,NaN,5.3,42.0,0.53,
4.54,4.54,NaN,5.4,42.0,0.54,0.54,4.54,4.54,NaN,5.4,42.0,0.54,0.54
4.55,4.55,NaN,5.5,42.0,0.55,0.55,4.55,4.55,NaN,5.5,42.0,0.55,0.55
4.56,4.56,NaN,5.6,42.0,0.56,,4.56,4.56,NaN,5.6,42.0,0.56,
4.57,4.57,NaN,5.7,42.0,0.57,0.57,4.57,4.57,NaN,5.7,42.0,0.57,0.57
4.58,4.58,NaN,5.8,42.0,0.58,0.58,4.58,4.58,NaN,5.8,42.0,0.58,0.58
4.59,4.59,NaN,5.9,42.0,0.59,,4.59,4.59,NaN,5.9,42.0,0.59,
4.6,4.6,NaN,6.0,42.0,0.6,0.6,4.6,4.6,NaN,6.0,42.0,0.6,0.6
4.61,4.61,NaN,6.1,42.0,0.61,0.61,4.61,4.61,NaN,6.1,42.0,0.61,0.61
4.62,4.62,NaN,6.2,42.0,0.62,,4.62,4.62,NaN,6.2,42.0,0.62,
4.63,4.63,NaN,6.3,42.0,0.63,0.63,4.63,4.63,NaN,6.3,42.0,0.63,0.63
4.64,4.64,NaN,6.4,42.0,0.64,0.64,4.64,4.64,NaN,6.4,42.0,0.64,0.64
4.65,4.65,NaN,6.5,42.0,0.65,,4.65,4.65,NaN,6.5,42.0,0.65,
4.66,4.66,NaN,6.6,42.0,0.66,0.66,4.66,4.66,NaN,6.6,42.0,0.66,0.66
4.67,4.67,NaN,6.7,42.0,0.67,0.67,4.67,4.67,NaN,6.7,42.0,0.67,0.67
4.68,4.68,NaN,6.8,42.0,0.68,,4.68,4.68,NaN,6.8,42.0,0.68,
4.69,4.69,NaN,6.9,42.0,0.69,0.69,4.69,4.69,NaN,6.9,42.0,0.69,0.69
4.7,4.7,NaN,7.0,42.0,0.7,0.7,4.7,4.7,NaN,7.0,42.0,0.7,0.7
4.71,4.71,NaN,7.1,42.0,0.71,,4.71,4.71,NaN,7.1,42.0,0.71,
4.72,4.72,NaN,7.2,42.0,0.72,0.72,4.72,4.72,NaN,7.2,42.0,0.72,0.72
4.73,4.73,NaN,7.3,42.0,0.73,0.73,4.73,4.73,NaN,7.3,42.0,0.73,0.73
4.74,4.74,NaN,7.4,42.0,0.74,,4.74,4.74,NaN,7.4,42.0,0.74,
4.75,4.75,NaN,7.5,42.0,0.75,0.75,4.75,4.75,NaN,7.5,42.0,0.75,0.75
4.76,4.76,NaN,7.6,42.0,0.76,0.76,4.76,4.76,NaN,7.6,42.0,0.76,0.76
4.77,4.77,NaN,7.7,42.0,0.77,,4.77,4.77,NaN,7.7,42.0,0.77,
4.78,4.78,NaN,7.8,42.0,0.78,0.78,4.78,4.78,NaN,7.8,42.0,0.78,0.78
4.79,4.79,NaN,7.9,42.0,0.79,0.79,4.79,4.79,NaN,7.9,42.0,0.79,0.79
4.8,4.8,NaN,8.0,42.0,0.8,,4.8,4.8,NaN,8.0,42.0,0.8,
4.81,4.81,NaN,8.1,42.0,0.81,0.81,4.81,4.81,NaN,8.1,42.0,0.81,0.81
4.82,4.82,NaN,8.2,42.0,0.82,0.82,4.82,4.82,NaN,8.2,42.0,0.82,0.82
4.83,4.83,NaN,8.3,42.0,0.83,,4.83,4.83,NaN,8.3,42.0,0.83,
4.84,4.84,NaN,8.4,42.0,0.84,0.84,4.84,4.84,NaN,8.4,42.0,0.84,0.84
4.85,4.85,NaN,8.5,42.0,0.85,0.85,4.85,4.85,NaN,8.5,42.0,0.85,0.85
4.86,4.86,NaN,8.6,42.0,0.86,,4.86,4.86,NaN,8.6,42.0,0.86,
4.87,4.87,NaN,8.7,42.0,0.87,0.87,4.87,4.87,NaN,8.7,42.0,0.87,0.87
4.88,4.88,NaN,8.8,42.0,0.88,0.88,4.88,4.88,NaN,8.8,42.0,0.88,0.88
4.89,4.89,NaN,8.9,42.0,0.89,,4.89,4.89,NaN,8.9,42.0,0.89,
4.9,4.9,NaN,9.0,42.0,0.9,0.9,4.9,4.9,NaN,9.0,42.0,0.9,0.9
4.91,4.91,NaN,9.1,42.0,0.91,0.91,4.91,4.91,NaN,9.1,42.0,0.91,0.91
4.92,4.92,NaN,9.2,42.0,0.92,,4.92,4.92,NaN,9.2,42.0,0.92,
4.93,4.93,NaN,9.3,42.0,0.93,0.93,4.93,4.93,NaN,9.3,42.0,0.93,0.93
4.94,4.94,NaN,9.4,42.0,0.94,0.94,4.94,4.94,NaN,9.4,42.0,0.94,0.94
4.95,4.95,NaN,9.5,42.0,0.95,,4.95,4.95,NaN,9.5,42.0,0.95,
4.96,4.96,NaN,9.6,42.0,0.96,0.96,4.96,4.96,NaN,9.6,42.0,0.96,0.96
4.97,4.97,NaN,9.7,42.0,0.97,0.97,4.97,4.97,NaN,9.7,42.0,0.97,0.97
4.98,4.98,NaN,9.8,42.0,0.98,,4.98,4.98,NaN,9.8,42.0,0.98,
4.99,4.99,NaN,9.9,42.0,0.99,0.99,4.99,4.99,NaN,9.9,42.0,0.99,0.99
5.0,5.0,NaN,0.0,42.0,0.0,0.0,5.0,5.0,NaN,0.0,42.0,0.0,0.0
5.01,5.01,NaN,0.1,42.0,0.01,,5.01,5.01,NaN,0.1,42.0,0.01,
5.02,5.02,NaN,0.2,42.0,0.02,0.02,5.02,5.02,NaN,0.2,42.0,0.02,0.02
5.03,5.03,NaN,0.3,42.0,0.03,0.03,5.03,5.03,NaN,0.3,42.0,0.03,0.03
5.04,5.04,NaN,0.4,42.0,0.04,,5.04,5.04,NaN,0.4,42.0,0.04,
5.05,5.05,NaN,0.5,42.0,0.05,0.05,5.05,5.05,NaN,0.5,42.0,0.05,0.05
5.06,5.06,NaN,0.6,42.0,0.06,0.06,5.06,5.06,NaN,0.6,42.0,0.06,0.06
5.07,5.07,NaN,0.7,42.0,0.07,,5.07,5.07,NaN,0.7,42.0,0.07,
5.08,5.08,NaN,0.8,42.0,0.08,0.08,5.08,5.08,NaN,0.8,42.0,0.08,0.08
